Exp,10.949,10.992,11.034,11.077,11.119,11.162,11.204,11.246,11.289,11.331,11.374,11.416,11.459,11.501,11.544,11.586,11.628
SW,10.131,9.36,8.556,7.73,6.916,6.19,5.668,5.429,5.449,5.637,5.916,6.237,6.576,6.918,7.256,7.588,7.911
2W,7.356,6.952,6.553,6.176,5.845,5.589,5.429,5.367,5.383,5.455,5.563,5.693,5.837,5.988,6.142,6.298,6.454
1M,6.373,6.254,6.137,6.026,5.924,5.837,5.771,5.733,5.725,5.744,5.783,5.836,5.898,5.965,6.036,6.109,6.182
2M,6.444,6.356,6.271,6.189,6.114,6.047,5.992,5.951,5.927,5.922,5.933,5.959,5.994,6.038,6.086,6.139,6.194
3M,6.442,6.365,6.292,6.223,6.16,6.103,6.055,6.014,5.984,5.964,5.956,5.959,5.973,5.999,6.035,6.079,6.132
6M,6.575,6.504,6.434,6.368,6.304,6.244,6.188,6.138,6.093,6.055,6.025,6.002,5.988,5.982,5.983,5.992,6.007
9M,6.459,6.398,6.339,6.282,6.229,6.178,6.132,6.09,6.052,6.019,5.992,5.969,5.953,5.942,5.936,5.936,5.941
1Y,6.473,6.415,6.359,6.306,6.255,6.208,6.163,6.123,6.086,6.054,6.025,6.001,5.982,5.967,5.956,5.95,5.949
2Y,6.813,6.776,6.739,6.704,6.67,6.637,6.606,6.576,6.548,6.522,6.498,6.475,6.456,6.438,6.423,6.41,6.4
3Y,7.106,7.076,7.047,7.019,6.992,6.966,6.941,6.917,6.893,6.872,6.851,6.831,6.813,6.795,6.779,6.765,6.751
5Y,7.634,7.612,7.589,7.568,7.547,7.526,7.506,7.486,7.467,7.449,7.431,7.414,7.397,7.381,7.366,7.351,7.337
7Y,7.953,7.934,7.915,7.896,7.877,7.859,7.842,7.824,7.807,7.791,7.774,7.758,7.743,7.728,7.713,7.699,7.685
10Y,8.269,8.252,8.236,8.22,8.205,8.189,8.174,8.159,8.145,8.13,8.116,8.102,8.089,8.075,8.062,8.05,8.037
